net,length_um
alu.a\[27\],191.96
_01369_,191.89
_01262_,191.02
_01855_,190.94
_01192_,189.7
_03656_,188.9
alu.a\[2\],187.02
alu.a\[0\],186.46
alu.b\[2\],186.16
alu.a\[28\],185.7
_01242_,185.1
_01193_,184.58
_01891_,183.84
_02799_,183.02
alu.b\[7\],181.56
alu.b\[3\],181
_04790_,180.38
_01142_,179.08
_04602_,178.74
alu.a\[20\],178.69
alu.a\[1\],178.54
alu.a\[4\],178.44
_01166_,178
_03493_,177.16
alu.a\[24\],176.83
alu.a\[3\],176.56
_04397_,176.22
_01918_,175.2
_04061_,174.28
alu.a\[22\],173.865
_03828_,172.89
_01151_,172.74
_03465_,169.76
clknet_5_28__leaf_clock,167.33
_01296_,166.08
_01268_,163.8
_02895_,161.035
_03732_,160.66
_01484_,160.34
clknet_5_21__leaf_clock,159.62
_01504_,159.2
_04330_,158.79
_03312_,158.04
_01543_,157.95
_04108_,156.76
_03096_,153.2
_04139_,152.34
_03319_,151.98
_03983_,150.8
_03249_,150.26
_03879_,149.76
alu.a\[23\],149.57
alu.a\[6\],148.94
_01172_,147.1
_02966_,146.34
_01568_,144.9
_01498_,144.74
_03075_,144.5
alu.a\[8\],144.44
_02848_,142.28
_02941_,141.84
_04094_,141.68
_01481_,141.64
_01512_,141.04
_02910_,140.84
_01496_,140.16
_01132_,138.46
_03297_,137.44
alu.a\[25\],136.84
_01516_,136.51
_01555_,136.12
_01542_,136.1
_03433_,135.74
alu.a\[19\],135.58
_03135_,134.54
_03382_,134.28
_01573_,133.56
_04527_,133.34
_03180_,132.54
_04473_,132.4
alu.a\[18\],132.12
_01422_,131.96
alu.b\[31\],131.86
_01618_,131.61
_04555_,131.52
_03266_,131.18
clknet_leaf_226_clock,130.9
_02866_,128.46
_04678_,127.5
clknet_leaf_46_clock,127.26
_01617_,127.12
clknet_5_22__leaf_clock,126.89
_04719_,126.86
_02879_,126.42
_01280_,125.92
clknet_leaf_173_clock,125.78
alu.a\[7\],125.42
_03521_,125.1
_03412_,124.54
clknet_leaf_21_clock,123.76
_03927_,123.74
_03009_,123.5
_04431_,123.38
alu.a\[21\],122.78
_04635_,122.66
_03578_,122.5
_01411_,122.34
_03165_,120.6
_03041_,120.12
clknet_leaf_160_clock,119.94
_03621_,119.4
_01168_,119.34
_04495_,119.32
_03628_,119.08
_04352_,118.9
_03688_,117.94
_04015_,117.04
_04663_,116.24
_01799_,115.44
_04581_,115.42
_01432_,114.98
clknet_leaf_95_clock,114.955
_03581_,114.6
alu.a\[9\],114.54
_01315_,113.78
_01603_,113.68
_01326_,113.54
clknet_leaf_119_clock,113.46
_04691_,113.38
clknet_leaf_105_clock,113.34
_03353_,112.94
_01366_,112.68
_04747_,112.66
_01405_,112.14
_01556_,111.92
_01443_,111.58
_04775_,111.38
_01429_,111.34
_01673_,111.14
clknet_leaf_167_clock,110.58
clknet_leaf_24_clock,110.52
alu.b\[22\],110.48
_01714_,109.96
_01624_,108.44
clknet_5_20__leaf_clock,108.14
_03203_,108.08
_04624_,107.78
alu.b\[23\],107.64
_04041_,107.1
_04312_,106.18
clknet_leaf_40_clock,106.16
_01472_,104.5
_01344_,103.41
_01325_,103.3
_04255_,103.02
_03606_,103
alu.b\[26\],102.94
_01483_,102.86
alu.b\[12\],102.84
_02695_,102.46
_04198_,102.26
clknet_leaf_215_clock,102.18
clknet_leaf_219_clock,101.7
alu.a\[16\],101.21
_03549_,101.1
clknet_leaf_120_clock,101.08
_01787_,101.02
_01455_,100.94
_01351_,100.615
_01346_,100.58
_04444_,100.4
_01374_,99.86
_01401_,99.76
_01658_,99.72
_04349_,99.16
_04570_,98.96
clknet_leaf_28_clock,98.9
_04542_,98.74
rf.RAM\[11\]\[21\],98.24
clknet_leaf_155_clock,98.2
alu.b\[25\],98.16
clknet_leaf_84_clock,97.92
_04638_,97.84
clknet_leaf_146_clock,97.8
_01602_,97.4
clknet_leaf_107_clock,97.1
_01453_,96.795
clknet_leaf_217_clock,96.6
_03868_,96.36
_01267_,96.2
_04652_,96.02
_04228_,96
_01565_,95.37
clknet_leaf_176_clock,95.14
_01772_,94.3
_03440_,94.22
clknet_leaf_183_clock,93.99
_01321_,93.61
_02814_,93.52
clknet_leaf_210_clock,93.02
_01579_,92.9
clknet_leaf_69_clock,92.56
clknet_leaf_125_clock,92.18
clknet_leaf_50_clock,91.78
alu.a\[5\],91.74
clknet_leaf_94_clock,91.44
clknet_leaf_179_clock,91.44
clknet_leaf_98_clock,91.4
alu.b\[24\],91.38
_04576_,91.08
_01224_,91
_04604_,90.8
clknet_leaf_38_clock,90.6
_01249_,90.44
_01607_,90.36
clknet_leaf_31_clock,90.22
rf.RAM\[11\]\[25\],90.14
_01500_,90.12
clknet_leaf_43_clock,89.82
_01457_,89.6
clknet_leaf_6_clock,89.46
clknet_leaf_159_clock,89.46
clknet_leaf_1_clock,89.4
alu.a\[17\],89.18
clknet_leaf_161_clock,89.06
clknet_leaf_90_clock,89
_01660_,88.92
rf.RAM\[11\]\[24\],88.8
_00302_,88.52
_03913_,88.44
clknet_leaf_74_clock,88.19
_03473_,87.98
_01486_,87.86
clknet_leaf_26_clock,87.7
clknet_leaf_141_clock,87.38
clknet_leaf_147_clock,87.3
clknet_leaf_156_clock,87.255
_01588_,87
_03538_,86.98
_01527_,86.9
clknet_leaf_71_clock,86.62
_01625_,86.32
clknet_leaf_33_clock,86.3
clknet_leaf_157_clock,85.96
clknet_leaf_29_clock,85.66
_03716_,85.575
_04550_,85.28
_04077_,85.18
_04630_,84.91
clknet_leaf_47_clock,84.88
_04658_,84.22
_04650_,84.2
clknet_leaf_22_clock,84.2
_02928_,83.86
_01356_,83.76
_04596_,83.74
rf.RAM\[11\]\[26\],83.74
clknet_leaf_17_clock,83.67
_03567_,83.6
clknet_leaf_129_clock,83.58
clknet_leaf_61_clock,83.44
clknet_leaf_218_clock,83.2
clknet_leaf_190_clock,83.09
_01774_,83
clknet_leaf_83_clock,82.98
clknet_leaf_109_clock,82.935
clknet_leaf_8_clock,82.4
clknet_leaf_142_clock,82.32
clknet_leaf_174_clock,82.32
_04383_,82.2
alu.a\[11\],82.1
rf.RAM\[11\]\[20\],82
clknet_leaf_211_clock,81.94
clknet_leaf_32_clock,81.86
clknet_leaf_216_clock,81.84
clknet_leaf_16_clock,81.735
_03235_,81.64
clknet_leaf_178_clock,81.46
_01513_,81.26
_03595_,80.54
clknet_leaf_223_clock,80.54
clknet_leaf_124_clock,80.52
_03593_,80.36
alu.b\[0\],80.04
clknet_leaf_70_clock,79.86
_03400_,79.58
_03782_,79.58
clknet_leaf_135_clock,79.56
_00301_,79.525
clknet_leaf_85_clock,79.52
clknet_leaf_62_clock,79.48
_02761_,79.29
rf.RAM\[11\]\[27\],79.26
rf.RAM\[7\]\[3\],79.24
clknet_leaf_68_clock,79.16
_04385_,78.98
clknet_leaf_228_clock,78.96
clknet_leaf_111_clock,78.72
rf.RAM\[7\]\[1\],78.66
_04413_,78.4
clknet_leaf_76_clock,78.3
clknet_leaf_106_clock,78.3
rf.RAM\[22\]\[21\],78.02
_03516_,77.86
_01092_,77.7
_01721_,77.64
_01438_,77.44
_01095_,77.42
_04117_,77.36
_02368_,77.28
_03510_,77.28
_01452_,77.26
rf.RAM\[6\]\[2\],77.18
clknet_leaf_2_clock,77.14
clknet_leaf_7_clock,77.095
rf.RAM\[22\]\[10\],76.86
clknet_leaf_221_clock,76.695
_03942_,76.66
clknet_leaf_57_clock,76.62
_01358_,76.56
clknet_leaf_82_clock,76.38
_01215_,76.345
_00300_,76.34
_04264_,76.28
clknet_leaf_44_clock,76.12
_01768_,76.06
clknet_leaf_51_clock,76
_01179_,75.74
_04609_,75.74
_04714_,75.68
_01279_,75.65
_04516_,75.6
clknet_leaf_52_clock,75.6
_01726_,75.56
_01461_,75.46
clknet_leaf_58_clock,75.32
_01216_,75.22
clknet_leaf_225_clock,75.22
rf.RAM\[18\]\[22\],75.19
clknet_leaf_195_clock,75.06
_03636_,75.04
alu.b\[27\],75
clknet_leaf_220_clock,74.92
clknet_leaf_56_clock,74.68
_01704_,74.6
_04722_,74.46
alu.b\[29\],74.38
clknet_leaf_25_clock,74.28
_01223_,74.15
clknet_leaf_60_clock,74.14
alu.a\[15\],74.105
clknet_leaf_65_clock,73.8
clknet_leaf_53_clock,73.76
_01599_,73.74
clknet_leaf_66_clock,73.56
clknet_leaf_113_clock,73.54
_01518_,73.36
rf.RAM\[2\]\[1\],73.09
clknet_leaf_5_clock,72.98
clknet_leaf_188_clock,72.84
alu.a\[13\],72.8
_01185_,72.76
_01406_,72.76
clknet_leaf_9_clock,72.7
clknet_leaf_192_clock,72.7
_01349_,72.52
clknet_leaf_204_clock,72.48
_03663_,72.46
_01323_,72.26
_01409_,72.24
_01189_,72.2
_01640_,71.98
_03480_,71.88
clknet_leaf_30_clock,71.88
clknet_leaf_88_clock,71.86
_01355_,71.815
clknet_leaf_175_clock,71.78
_01186_,71.72
_01348_,71.72
clknet_leaf_196_clock,71.72
clknet_leaf_187_clock,71.58
_01236_,71.54
clknet_leaf_37_clock,71.54
clknet_leaf_171_clock,71.48
_04666_,71.46
rf.RAM\[12\]\[20\],71.1
_01716_,71.06
_02832_,71.04
_01687_,70.76
clknet_leaf_133_clock,70.6
clknet_leaf_86_clock,70.52
_03529_,70.5
clknet_leaf_63_clock,70.32
_03970_,70.24
rf.RAM\[7\]\[14\],70.12
clknet_leaf_14_clock,70.02
_01206_,69.8
_01329_,69.8
rf.RAM\[23\]\[29\],69.78
rf.RAM\[7\]\[5\],69.74
_01364_,69.72
clknet_leaf_128_clock,69.52
_02930_,69.48
rf.RAM\[11\]\[23\],69.42
_01386_,69.3
_03883_,69.22
clknet_leaf_80_clock,69.18
_03536_,69.12
_01399_,68.96
_01383_,68.8
_01711_,68.68
rf.RAM\[6\]\[1\],68.6
_01205_,68.525
_04313_,68.52
_04273_,68.5
_03482_,68.28
rf.RAM\[30\]\[24\],68.095
_01199_,67.88
_01727_,67.82
clknet_leaf_81_clock,67.76
_03428_,67.4
clknet_leaf_208_clock,67.3
_03557_,66.98
clknet_leaf_72_clock,66.96
_01709_,66.82
_01198_,66.67
_01347_,66.58
clknet_leaf_87_clock,66.56
_01178_,66.54
_01382_,66.44
_01627_,66.44
_01786_,66.4
_01600_,66.36
clknet_leaf_144_clock,66.16
clknet_leaf_145_clock,66.16
_01181_,66.1
clknet_leaf_10_clock,65.88
_04584_,65.64
alu.b\[30\],65.64
_00299_,65.565
_01759_,65.36
_01209_,65.28
rf.RAM\[26\]\[3\],65.26
_03454_,65.1
clknet_leaf_177_clock,65.08
_01733_,65.04
clknet_leaf_114_clock,64.98
_01175_,64.93
_01433_,64.92
rf.RAM\[23\]\[21\],64.68
clknet_leaf_55_clock,64.68
_03459_,64.54
_03614_,64.48
clknet_leaf_137_clock,64.34
_01571_,64.32
clknet_leaf_11_clock,64.24
clknet_leaf_79_clock,64.22
_01328_,64.2
